,Smiles,pIC50
136,Fc1c(-c2c(F)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
137,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN)cc3)ccc2)cccc1-c1nc(OC)c(CN)cc1,1
138,O(C)c1c(CNC[C@H]2NC(=O)CC2)ccc(-c2c(C#N)c(-c3c(C#N)c(-c4nc(OC)c(CNC[C@H]5NC(=O)CC5)cc4)ccc3)ccc2)n1,1
139,O(C)c1c(C2=NCCN2)ccc(-c2c(C#N)c(-c3c(C#N)c(-c4nc(OC)c(C5=NCCN5)cc4)ccc3)ccc2)n1,1
140,Clc1c(-c2c(Cl)c(-c3ncc(CNC[C@H]4NC(=O)CC4)c(OC)c3)ccc2)cccc1-c1ncc(CNC[C@H]2NC(=O)CC2)c(OC)c1,1
141,Clc1c(-c2c(Cl)c(-c3nc(OC)c(C=4N(C)CCN=4)cc3)ccc2)cccc1-c1nc(OC)c(C=2N(C)CCN=2)cc1,1
142,Clc1c(-c2c(Cl)c(-c3nc(OC)c(C4=NC[C@H](CO)N4)cc3)ccc2)cccc1-c1nc(OC)c(C2=NC[C@H](CO)N2)cc1,1
143,Clc1c(-c2c(Cl)c(-c3ncc(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1ncc(CNC[C@H]2NC(=O)CC2)cc1,1
144,Clc1c(-c2c(Cl)c(-c3cc(CNC[C@H]4NC(=O)CC4)c(OC)nc3)ccc2)cccc1-c1cc(CNC[C@H]2NC(=O)CC2)c(OC)nc1,1
145,Clc1c(-c2c(Cl)c(-c3nc(C(F)(F)F)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(C(F)(F)F)c(CNC[C@H]2NC(=O)CC2)cc1,1
146,Clc1c(-c2c(Cl)c(-c3nc(C)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(C)c(CNC[C@H]2NC(=O)CC2)cc1,1
147,Clc1c(-c2c(Cl)c(-c3nc(OC)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@@H](O)CC(=O)O)cc1,1
