,ID,Smiles,pIC50
102,102,Brc1c(-c2c(F)c(-c3nc(OC)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(OC)c(C2=NCCN2)cc1,9.3655224
103,103,Brc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@@H](O)CC(=O)O)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@@H](O)CC(=O)O)cc1,10.045757
104,104,Brc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@@H]2NC(=O)CC2)cc1,9.9706163
105,105,Brc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,10.102373
106,106,Brc1c(-c2c(Cl)c(-c3nc(OC)c(CNCCO)cc3)ccc2)cccc1-c1nc(OC)c(CNCCO)cc1,9.705534
107,107,Brc1c(-c2c(Cl)c(-c3nc(OC)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(OC)c(C2=NCCN2)cc1,9.696804
108,108,Brc1c(-c2c(Br)c(-c3nc(OC)c(CNC[C@@H](O)CC(=O)O)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@@H](O)CC(=O)O)cc1,9.7077436
109,109,Brc1c(-c2c(Br)c(-c3nc(OC)c(CNC[C@@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@@H]2NC(=O)CC2)cc1,9.4841261
110,110,Brc1c(-c2c(Br)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.6575775
111,111,Brc1c(-c2c(Br)c(-c3nc(OC)c(CNCCO)cc3)ccc2)cccc1-c1nc(OC)c(CNCCO)cc1,9.8728952
112,112,Brc1c(-c2c(Br)c(-c3nc(OC)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(OC)c(C2=NCCN2)cc1,10.19382
113,113,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCN[C@](C(=O)O)(CO)C)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,10.055517
114,114,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCN4[C@H](C(=O)O)C[C@H](O)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,10.075721
115,115,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCNC[C@@H](O)CC(=O)O)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,10.173925
116,116,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCN4C[C@@H](C(=O)O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,10.154902
117,117,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,9.3575354
